largest_employer,state,county_name,median_wage,population,male_population,female_population,households
,CA,Alameda County,72128,1510271,740573,769698,545138
,CA,Alpine County,49392,1175,606,569,497
,CA,Amador County,52357,38091,20749,17342,14569
,CA,Butte County,42395,220000,108931,111069,87618
,CA,Calaveras County,52598,45578,22822,22756,18886
,CA,Colusa County,48897,21419,11012,10407,7056
,CA,Contra Costa County,78909,1049025,511526,537499,375364
,CA,Del Norte County,38663,28610,15907,12703,9907
,CA,El Dorado County,63002,181058,90571,90487,70223
,CA,Fresno County,43741,930450,464811,465639,289391
,CA,Glenn County,42129,28122,14191,13931,9800
,CA,Humboldt County,40882,134623,67595,67028,56031
,CA,Imperial County,40106,174528,89646,84882,49126
,CA,Inyo County,45784,18546,9354,9192,8049
,CA,Kern County,46688,839631,433108,406523,254610
,CA,Kings County,45794,152982,86344,66638,41233
,CA,Lake County,36973,64665,32469,32196,26548
,CA,Lassen County,50487,34895,22416,12479,10058
,CA,Los Angeles County,54443,9818605,4839654,4978951,3241204
,CA,Madera County,41223,150865,72682,78183,43317
,CA,Marin County,94347,252409,124072,128337,103210
,CA,Mariposa County,45251,18251,9269,8982,7693
,CA,Mendocino County,42001,87841,43983,43858,34945
,CA,Merced County,41003,255793,128737,127056,75642
,CA,Modoc County,37055,9686,4878,4808,4064
,CA,Mono County,55107,14202,7548,6654,5768
,CA,Monterey County,55411,415057,213431,201626,125946
,CA,Napa County,68619,136484,68159,68325,48876
,CA,Nevada County,55246,98764,48835,49929,98764
,CA,Orange County,73827,3010232,1488780,1521452,992781
,CA,Placer County,73643,348432,170151,178281,132627
,CA,Plumas County,47645,20007,10003,10004,8977
,CA,Riverside County,53909,2189641,1089576,1100065,686260
,CA,Sacramento County,52980,1418788,694793,723995,513945
,CA,San Benito County,66780,55269,27629,27640,16805
,CA,San Bernardino County,52112,2035210,1011507,1023703,611618
,CA,San Diego County,61365,3095313,1553679,1541634,1086865
,CA,San Francisco County,76933,805235,408462,396773,345811
,CA,San Joaquin County,51219,685306,341230,344076,215007
,CA,San Luis Obispo County,57743,269637,137999,131638,102016
,CA,San Mateo County,91061,718451,353168,365283,257837
,CA,Santa Barbara County,60803,423895,212786,211109,142104
,CA,Santa Clara County,91843,1781642,893851,887791,604204
,CA,Santa Cruz County,65282,262382,130913,131469,94355
,CA,Shasta County,41236,177223,87130,90093,70346
,CA,Sierra County,46449,3240,1646,1594,1482
,CA,Siskiyou County,37108,44900,22395,22505,19505
,CA,Solano County,63398,413344,206195,207149,141758
,CA,Sonoma County,61020,483878,237902,245976,185825
,CA,Stanislaus County,47808,514453,254489,259964,165180
,CA,Sutter County,47903,94737,47001,47736,31437
,CA,Tehama County,43459,63463,31610,31853,23767
,CA,Trinity County,35708,13786,7113,6673,6083
,CA,Tulare County,39657,442179,221442,220737,130352
,CA,Tuolumne County,50774,55365,29245,26120,22156
,CA,Ventura County,76513,823318,408969,414349,266920
,CA,Yolo County,55011,200849,97935,102914,70872
,CA,Yuba County,41824,72155,36352,35803,24307
